x,y,z,u,v,w
-25,-25,0,10.5686,10.006,0.0261269
-24,-25,0,10.4325,8.84258,0.0512608
-23,-25,0,10.4263,8.09299,0.0601867
-22,-25,0,10.441,7.2143,0.0737739
-21,-25,0,10.4696,6.03609,0.0806742
-20,-25,0,10.5709,4.20218,0.0514109
-19,-25,0,10.7105,0.0317456,-0.186826
-18,-25,0,6.03724,-12.7355,-0.279503
-17,-25,0,1.74979,-14.5809,-0.603508
-16,-25,0,,,
-15,-25,0,,,
-14,-25,0,,,
-13,-25,0,,,
-12,-25,0,,,
-11,-25,0,,,
-10,-25,0,,,
-9,-25,0,,,
-8,-25,0,,,
-7,-25,0,,,
-6,-25,0,,,
-5,-25,0,,,
-4,-25,0,,,
-3,-25,0,,,
-2,-25,0,,,
-1,-25,0,,,
0,-25,0,,,
1,-25,0,,,
2,-25,0,,,
3,-25,0,,,
4,-25,0,,,
5,-25,0,,,
6,-25,0,,,
7,-25,0,,,
8,-25,0,,,
9,-25,0,,,
10,-25,0,,,
11,-25,0,,,
12,-25,0,,,
13,-25,0,,,
14,-25,0,,,
15,-25,0,,,
16,-25,0,,,
17,-25,0,,,
18,-25,0,,,
19,-25,0,,,
20,-25,0,,,
21,-25,0,,,
22,-25,0,,,
23,-25,0,,,
24,-25,0,,,
25,-25,0,,,
-25,-24,0,10.5714,10.2278,0.0260938
-24,-24,0,10.1436,8.63359,0.0736842
-23,-24,0,9.78184,7.38357,0.0888818
-22,-24,0,9.63435,6.19477,0.104488
-21,-24,0,9.57835,4.78216,0.112549
-20,-24,0,9.52236,2.88096,0.0779795
-19,-24,0,9.03595,0.142175,-0.0273788
-18,-24,0,2.98799,-6.82518,0.0335029
-17,-24,0,0.726767,-9.04237,-0.542565
-16,-24,0,,,
-15,-24,0,,,
-14,-24,0,,,
-13,-24,0,,,
-12,-24,0,,,
-11,-24,0,,,
-10,-24,0,,,
-9,-24,0,,,
-8,-24,0,,,
-7,-24,0,,,
-6,-24,0,,,
-5,-24,0,,,
-4,-24,0,,,
-3,-24,0,,,
-2,-24,0,,,
-1,-24,0,,,
0,-24,0,,,
1,-24,0,,,
2,-24,0,,,
3,-24,0,,,
4,-24,0,,,
5,-24,0,,,
6,-24,0,,,
7,-24,0,,,
8,-24,0,,,
9,-24,0,,,
10,-24,0,,,
11,-24,0,,,
12,-24,0,,,
13,-24,0,,,
14,-24,0,,,
15,-24,0,,,
16,-24,0,,,
17,-24,0,,,
18,-24,0,,,
19,-24,0,,,
20,-24,0,,,
21,-24,0,,,
22,-24,0,,,
23,-24,0,,,
24,-24,0,,,
25,-24,0,,,
-25,-23,0,10.5956,10.3757,0.0110647
-24,-23,0,10.3241,9.24388,0.03833
-23,-23,0,9.63372,7.82666,0.0638817
-22,-23,0,8.95469,6.37918,0.0875801
-21,-23,0,8.35225,4.82416,0.128665
-20,-23,0,7.69941,2.95559,0.187179
-19,-23,0,6.7258,0.726059,0.261933
-18,-23,0,1.76969,-3.74127,0.154221
-17,-23,0,-1.50707,-0.572779,0.660491
-16,-23,0,0.355762,-0.0678341,0.0510458
-15,-23,0,,,
-14,-23,0,0.157517,-1.15882,0.871868
-13,-23,0,0.4302,-0.523719,1.08561
-12,-23,0,,,
-11,-23,0,,,
-10,-23,0,,,
-9,-23,0,,,
-8,-23,0,,,
-7,-23,0,,,
-6,-23,0,,,
-5,-23,0,,,
-4,-23,0,,,
-3,-23,0,,,
-2,-23,0,,,
-1,-23,0,,,
0,-23,0,,,
1,-23,0,,,
2,-23,0,,,
3,-23,0,,,
4,-23,0,,,
5,-23,0,,,
6,-23,0,,,
7,-23,0,,,
8,-23,0,,,
9,-23,0,,,
10,-23,0,,,
11,-23,0,,,
12,-23,0,,,
13,-23,0,,,
14,-23,0,,,
15,-23,0,,,
16,-23,0,,,
17,-23,0,,,
18,-23,0,,,
19,-23,0,,,
20,-23,0,,,
21,-23,0,,,
22,-23,0,,,
23,-23,0,,,
24,-23,0,,,
25,-23,0,,,
-25,-22,0,10.5947,10.4482,0.017958
-24,-22,0,10.371,9.66949,0.0570444
-23,-22,0,9.71218,8.55057,0.109243
-22,-22,0,8.66757,7.04067,0.180828
-21,-22,0,7.5023,5.26952,0.276547
-20,-22,0,6.35733,3.2908,0.378126
-19,-22,0,5.13276,1.13945,0.391411
-18,-22,0,2.00576,-2.3098,0.147561
-17,-22,0,0.350497,-1.15877,0.410048
-16,-22,0,-0.360889,0.168017,0.0194449
-15,-22,0,-0.795892,0.196799,-0.186901
-14,-22,0,-1.1025,-1.6245,0.237779
-13,-22,0,-1.04548,-1.51402,0.0606295
-12,-22,0,-0.495124,-0.0487072,-1.58211
-11,-22,0,,,
-10,-22,0,,,
-9,-22,0,,,
-8,-22,0,,,
-7,-22,0,,,
-6,-22,0,,,
-5,-22,0,,,
-4,-22,0,,,
-3,-22,0,,,
-2,-22,0,,,
-1,-22,0,,,
0,-22,0,,,
1,-22,0,,,
2,-22,0,,,
3,-22,0,,,
4,-22,0,,,
5,-22,0,,,
6,-22,0,,,
7,-22,0,,,
8,-22,0,,,
9,-22,0,,,
10,-22,0,,,
11,-22,0,,,
12,-22,0,,,
13,-22,0,,,
14,-22,0,,,
15,-22,0,,,
16,-22,0,,,
17,-22,0,,,
18,-22,0,,,
19,-22,0,,,
20,-22,0,,,
21,-22,0,,,
22,-22,0,,,
23,-22,0,,,
24,-22,0,,,
25,-22,0,,,
-25,-21,0,10.5943,10.5104,0.0205483
-24,-21,0,10.3643,9.99638,0.07345
-23,-21,0,9.69819,9.18342,0.147017
-22,-21,0,8.50243,7.88238,0.277291
-21,-21,0,6.84824,5.78713,0.479774
-20,-21,0,5.41956,3.28014,0.612332
